comment_id,comment_text,likes,sentiment,theme,timestamp,video_id,user_id
1,Please explain the method step by step?,16,0.185,Request for more explanation,2026-02-13 18:55:25.934340,vid_x39ihwkr,user_8dwev6vw
2,Side thought: screen time is worth testing.,8,-0.052,General discussion,2026-01-16 20:48:37.934340,vid_mfu85w6z,user_2te8n23y
3,Super clear I've seen on this topic.,18,0.638,Positive feedback / praise,2026-01-31 01:12:19.934340,vid_or3wg1u1,user_b1orqi6o
4,Really appreciate this so much.,48,0.417,Positive feedback / praise,2025-11-22 09:04:51.934340,vid_4dt1n5jq,user_sdmo5yab
5,Can you break down that concept with real examples?,7,0.282,Request for more explanation,2026-02-05 07:26:16.934340,vid_2kca7ymq,user_w3efc6ry
6,Please explain the method in another video?,7,0.174,Request for more explanation,2025-12-25 03:46:48.934340,vid_ho8155pq,user_6szb6uuz
7,This reminds me of the environment is tricky to optimize.,51,0.251,General discussion,2026-02-14 01:31:33.934340,vid_y3rdlykf,user_i1krabbt
8,I got lost at the example for beginners.,21,-0.291,Confusion about topic,2026-01-20 20:27:58.934340,vid_x8wb80nr,user_pqhlzflf
9,Can you break down the takeaway in plain language?,5,0.137,Request for more explanation,2025-12-14 07:01:06.934340,vid_53f55zzo,user_xc1ofj2k
10,Still unsure about the process step by step?,16,0.183,Request for more explanation,2026-02-13 08:30:10.934340,vid_ts1bujlz,user_wndxi7bm
11,Finally get it you made it click.,5,0.507,Positive feedback / praise,2026-01-22 05:16:32.934340,vid_84gdqozf,user_ajkbq1w2
12,Could you walk through the example in plain language?,5,-0.082,Request for more explanation,2025-11-19 09:05:47.934340,vid_2jxjccha,user_4uliydcx
13,Can you explain the example with a quick demo?,12,0.271,Request for more explanation,2025-12-25 20:54:40.934340,vid_wfrcq6ob,user_1r0bvj0v
14,Can you explain the main idea in plain language?,1,0.114,Request for more explanation,2025-12-21 07:28:57.934340,vid_8x1fe8k7,user_ngpvixqh
15,I need more detail on the takeaway with a diagram?,1,0.03,Request for more explanation,2026-01-13 04:42:02.934340,vid_3u1pjacf,user_ittzal1e
16,Side thought: consistency seems underrated.,5,-0.092,General discussion,2026-01-27 13:33:01.934340,vid_v6mpm3lw,user_i1dgskgo
17,Love this so much.,3,0.738,Positive feedback / praise,2026-01-04 18:49:12.934340,vid_87oxef4a,user_bkfgojfc
18,I need more detail on the main idea with a quick demo?,13,-0.029,Request for more explanation,2026-01-28 21:05:52.934340,vid_5pll7bxa,user_718f8uvc
19,Side thought: habits can vary a lot.,3,0.223,General discussion,2026-01-05 01:12:57.934340,vid_2kwvtfx4,user_x87zzg2p
20,Finally get it you nailed it.,2,0.686,Positive feedback / praise,2026-02-05 15:06:16.934340,vid_r6vhmxgg,user_hh1hhlz8
21,Not sure this validated beyond anecdotes?,45,-0.678,Skepticism / credibility concern,2026-02-04 15:52:01.934340,vid_uj6eyta0,user_6v6w9bhd
22,Super clear thank you.,7,0.612,Positive feedback / praise,2026-01-03 06:57:22.934340,vid_cor7y8ts,user_jvz0wjki
23,Super clear keep these coming.,10,0.404,Positive feedback / praise,2026-01-15 03:21:18.934340,vid_vihy401g,user_xxjuihmx
24,Can someone explain the difference between stages right there.,2,-0.326,Confusion about topic,2025-12-20 09:24:49.934340,vid_w7ryeubh,user_iy309lwl
25,In my experience habits is tricky to optimize.,5,0.443,General discussion,2026-02-01 15:09:18.934340,vid_s15tt2jw,user_yrr5llxi
26,Would you clarify this step with a quick demo?,10,-0.035,Request for more explanation,2026-02-06 08:50:16.934340,vid_8dhexhig,user_pl28jg5w
27,Can you show the takeaway in plain language?,3,-0.072,Request for more explanation,2026-01-10 06:02:56.934340,vid_d6bof4ka,user_zymj6mbe
28,Please explain the process with numbers?,14,-0.06,Request for more explanation,2025-11-29 15:46:13.934340,vid_n4010y7t,user_y5c1qbh5
29,This helped me you nailed it.,5,0.37,Positive feedback / praise,2025-12-05 21:56:10.934340,vid_wi8hyryi,user_gvgthzba
30,Still confused about REM vs deep sleep in this context.,7,-0.347,Confusion about topic,2026-02-09 03:16:07.934340,vid_0c3tw3vt,user_kf2yxg9a
31,I'm skeptical supported by research for most people?,5,-0.792,Skepticism / credibility concern,2025-11-24 20:38:22.934340,vid_yusksa8m,user_w2t3rmg3
32,This reminds me of exercise is worth testing.,69,0.353,General discussion,2026-01-11 02:01:55.934340,vid_mojk45qb,user_woglyi56
33,Can you break down the process with context?,9,0.257,Request for more explanation,2026-01-19 01:15:35.934340,vid_ooqksc4t,user_x7nv1s42
34,I'm skeptical validated in practice?,3,-0.707,Skepticism / credibility concern,2025-12-30 18:48:59.934340,vid_w87t8dfk,user_ius2bq6j
35,Would you clarify the logic a bit more slowly?,22,-0.092,Request for more explanation,2025-12-20 05:47:33.934340,vid_wphwq1ui,user_r2meqgfj
36,Still unsure about that concept a bit more slowly?,2,0.105,Request for more explanation,2026-01-01 23:00:54.934340,vid_ajqbia9p,user_bwkua79m
37,Where's the scientifically proven for everyone?,11,-0.786,Skepticism / credibility concern,2025-12-31 16:00:07.934340,vid_ajd60vq2,user_6ss55iuq
38,I don't understand the definition you said.,1,-0.31,Confusion about topic,2026-01-21 19:13:00.934340,vid_q6yhabg0,user_suduq60u
39,"For anyone curious, routine changes is tricky to optimize.",2,-0.33,General discussion,2025-11-19 05:20:34.934340,vid_98f56nsc,user_5n0s2qf8
40,Could you walk through that concept with a diagram?,11,-0.069,Request for more explanation,2026-02-07 06:45:33.934340,vid_uiechzsw,user_58crjh42
41,"Wait, what is the term you used in this context.",20,-0.158,Confusion about topic,2025-11-27 22:42:22.934340,vid_6co55a2c,user_f39vc3r9
42,Still unsure about the difference with context?,11,-0.027,Request for more explanation,2025-12-10 20:01:26.934340,vid_1l9fj7u0,user_vys5z3kz
43,What does the point here you said.,8,-0.261,Confusion about topic,2026-01-27 12:06:24.934340,vid_8wm20usx,user_05jdovr6
44,Could you expand on the difference with a quick demo?,6,0.224,Request for more explanation,2025-12-30 19:06:31.934340,vid_w8m0lnk4,user_zbaxmz4h
45,So helpful so much.,2,0.903,Positive feedback / praise,2025-11-27 08:39:33.934340,vid_u6x3hycb,user_e6uq7bfj
46,I've noticed screen time seems underrated.,4,-0.109,General discussion,2026-01-19 17:07:49.934340,vid_0u2imm5v,user_r8wb9jfc
47,Amazing breakdown I've seen on this topic.,5,0.379,Positive feedback / praise,2026-02-09 20:35:52.934340,vid_aqyn3444,user_oud61vaa
48,What does the difference between stages in the video.,29,-0.271,Confusion about topic,2026-02-12 17:27:06.934340,vid_0we0vc54,user_wt07y0qn
49,Can you show the difference with a diagram?,13,0.098,Request for more explanation,2025-12-27 19:11:20.934340,vid_x6rl5qr4,user_bewq73f3
50,I got lost at the point here is supposed to mean.,1,-0.345,Confusion about topic,2026-02-08 21:15:20.934340,vid_ffo678e9,user_veud9lvh
51,In my experience stress levels is a big variable.,13,0.049,General discussion,2025-12-06 17:28:48.934340,vid_dug94mdr,user_w4e6352c
52,Amazing breakdown this is gold.,6,0.675,Positive feedback / praise,2026-01-20 05:04:24.934340,vid_d2fxlgqx,user_s3003hyi
53,Could you walk through the takeaway with numbers?,4,0.111,Request for more explanation,2025-12-15 14:31:57.934340,vid_hlcezh82,user_eh5rjb36
54,Not sure this backed by data for everyone?,18,-0.583,Skepticism / credibility concern,2025-11-26 12:13:51.934340,vid_mwoljalv,user_k799r4m3
55,Can you explain the difference step by step?,28,0.09,Request for more explanation,2026-01-29 19:17:35.934340,vid_rth5gr8d,user_1khaun4m
